Name,Downloads
note-synchronizer,4276
format-hotkeys-obsidian,4269
slide-note,4262
obsidian-focus-plugin,4201
local-backup,4199
obsidian-habitica-integration,4193
antidote-grammar-checker-integration,4186
multi-line-formatting,4171
obsidian-emotion-picker,4140
confluence-integration,4134
auto-glossary,4111
random-structural-diary-plugin,4101
pseudocode-in-obs,4099
hints-plugin,4085
obsidian-things-link,4084
solve,4076
quoth,4074
open-weather,4062
reveal-file-in-explorer,4044
obsidian-metatemplates,4040
obsidian-highlightpublicnotes-plugin,4038
hover-external-link,4017
obsidian-card-view-switcher-plugin,4013
bmo-chatbot,4011
colorful-note-borders,4005
auto-class,3991
habit-calendar,3991
obsidian-find-and-replace-in-selection,3989
syncthing-integration,3981
scales-chords,3965
searchpp,3957
obsidian-canvas-conversation,3956
obsidian-kobo-highlights-importer-plugin,3932
obsidian-matrix,3931
obsidian-day-and-night,3921
obsidian-title-serial-number-plugin,3920
obsidian-search-everywhere-plugin,3919
writing,3878
obsidian-binary-file-manager-plugin,3858
obsidian-ankibridge,3836
awesome-brain-manager,3834
obsidian-asciimath,3833
get-info-plugin,3832
unitade,3826
hide-folders,3816
awesome-image,3810
obsidian-vim-im-switch-plugin,3808
chem,3769
duplicate-line,3748
keyshots,3736
obsidian-vocabulary-view,3733
obsidian-stopwatch-plugin,3726
2hop-links-plus,3710
file-explorer-markdown-titles,3671
quick-plugin-switcher,3653
local-quotes,3627
excalidraw-cn,3625
vscode-editor,3607
zen,3606
restore-tab-key,3600
obsidian-link-archive,3584
lovely-mindmap,3584
auto-template-trigger,3581
obsidian-jtab,3563
garble-text,3560
file-diff,3548
obsidian-image-uploader,3541
obsidian-redirect,3539
typewriter-mode,3539
snippets,3530
crossbow,3529
obsidian-meeting-notes,3519
sync-graph-settings,3517
obsidian-contacts,3503
obsidian-reset-font-size,3488
notetweet,3477
spoiler-block-obsidian,3473
obsidian-echarts,3467
progressbar,3461
obsidian-dynamic-embed,3460
custom-font-loader,3450
obsidian-chessboard,3440
obsidian-command-alias-plugin,3428
callout-integrator,3426
google-keep-import,3418
adjacency-matrix-maker,3408
remotely-secure,3404
any-block,3398
snippet-commands-obsidian,3393
frontmatter-modified-date,3387
grappling-hook,3381
canvas-links,3381
linkify,3379
improved-vimcursor,3372
reading-comments,3369
obsidian-md-to-jira,3365
copy-publish-url,3363
list-style,3357
day-planner-og,3337
obsidian-sequence-hotkeys,3322
ics,3305
advanced-merger,3303
obsidian-share-as-gist,3302
typing-transformer-obsidian,3294
embed-code-file,3290
obsidian-hackernews,3257
uri-commands,3253
page-properties,3225
share-note,3224
obsidian-party,3217
obsidian-tressel,3214
generic-initiative-tracker,3207
mathlive,3201
todotxt,3201
at-symbol-linking,3182
quick-snippets-and-navigation,3171
obsidian-pretty-bibtex,3171
sync-google-calendar,3169
obsidian-readlater,3163
obsidian-limelight,3149
obsidian-basetag,3145
copy-note,3133
obsidian-tweaks,3131
attachment-manager,3127
css-editor,3126
create-note-in-folder,3124
weekly-review,3121
samepage,3113
obsidian-scroll-offset,3109
avatar,3105
awesome-reader,3103
custom-classes,3095
obsidian-sentence-navigator,3089
obsidian-structured-plugin,3076
obsidian-open-in-other-editor,3075
gpt-assistant,3074
obsidian-power-search,3071
heycalmdown-navigate-cursor-history,3070
obsidian-temple,3068
obsidian-checkbox3states-plugin,3056
hidden-folder-obsidian,3045
para-shortcuts,3021
flomo-importer,3005
plugins-galore,2994
boost-link-suggestions,2986
voice,2983
obsidian-javascript-init,2974
control-characters,2971
obsidian-achievements,2948
gemmy,2948
vault-chat,2948
multi-tag,2932
recipe-grabber,2931
youhavebeenstaring-plugin,2925
tags-overview,2922
liquid-templates,2914
obsidian-asciidoc-blocks,2905
obsidian-rapid-notes,2904
gene-ai,2904
obsidian-metacopy,2888
tag-search,2888
periodic-para,2882
obsidian-checklist-reset,2878
vim-toggle,2878
msg-handler,2876
obsidian-simple-mention,2865
zettelflow,2849
obsidian-jsonifier,2840
prompt,2837
file-explorer-plus,2826
link-tree,2823
url-namer,2820
cloze,2817
html-server,2813
obsidian-fuzzytag,2811
obsidian-custom-file-extensions-plugin,2803
hk-code-block,2803
obsidian-spotlight,2795
text-progress-bar,2792
focus-active-sentence,2792
execute-python,2789
last-modified-timestamp-in-status-bar,2782
color-palette,2776
obsidian-toggle-case,2769
bpmn-plugin,2762
enlightenment-obsidian,2751
obsidian-local-file-interface-plugin,2748
obsidian-copy-search-url,2747
mochi-cards-exporter,2740
plugin-manager,2740
scroll-speed,2735
